stopID,stopName,lat,lon
13427,"22nd Ave & Kirkham St",37.75959,-122.47998
134277,"Geary Blvd & 33rd Ave",37.7797399,-122.49323
13428,"22nd Ave & Lawton St",37.75775,-122.47985
13429,"22nd Ave & Lincoln Way",37.7651899,-122.4803699
13430,"22nd Ave & Moraga St",37.7558999,-122.4797099
13431,"22nd Ave & Noriega St",37.75434,-122.47961
134341,"Daly City Bart Station",37.7057599,-122.46927
13441,"23rd Ave & Irving St",37.76313,-122.48148
13442,"23rd Ave & Judah St",37.76161,-122.48138
13443,"23rd Ave & Kirkham St",37.75974,-122.48124
13444,"23rd Ave & Lawton St",37.75787,-122.48111
13445,"23rd Ave & Lincoln Way",37.76503,-122.4816099
13446,"23rd Ave & Moraga St",37.7560099,-122.4809899
13447,"23rd Ave & Noriega St",37.7541399,-122.4808599
13450,"23rd St & Kansas St",37.7544499,-122.40267
13452,"23rd St & Rhode Island St",37.7545099,-122.40169
13453,"23rd St & Utah St",37.75442,-122.4049399
13454,"23rd St & Utah St",37.7543,-122.4052999
13455,"23rd St & Vermont St",37.75448,-122.4039099
13456,"23rd St & Vermont St",37.7543999,-122.40363
13457,"23rd St & Wisconsin St",37.75481,-122.39856
134735,"Fulton St & 8th Ave",37.7733199,-122.46574
13476,"24th St & Mission St",37.7523199,-122.41833
13477,"24th St & Mission St",37.75218,-122.4185499
134823,"Kearny St & North Point St",37.8071799,-122.40721
134824,"Kearny St & Pacific Ave",37.7973299,-122.40527
13486,"24th St & Valencia St",37.75206,-122.42051
134895,"Geneva Ave & Rio Verde St",37.7069399,-122.41553
13504,"25th St & Connecticut St",37.75236,-122.3963399
13505,"25th St & Connecticut St",37.75224,-122.3966199
135056,"Howard St & Main St",37.7904099,-122.39352
13507,"25th St & Dakota St",37.7524999,-122.39483
13512,"25th St & Wisconsin St",37.75224,-122.3983099
13513,"25th St & Wisconsin St",37.75216,-122.3982899
135147,"Jackson St & Fillmore St",37.7925299,-122.43468
13516,"26th St & De Haro St",37.7508599,-122.40015
13517,"26th St & De Haro St",37.75075,-122.4000199
135184,"Jones St & Beach St",37.8072499,-122.41737
13522,"26th St & Rhode Island St",37.7507199,-122.40112
13524,"26th St & Wisconsin St",37.7511099,-122.39866
135335,"Main St & Mission St",37.7919799,-122.39496
13537,"30th St & Dolores St",37.7422999,-122.4240299
13538,"30th St & Dolores St",37.7421699,-122.42446
13541,"30th St & Mission St",37.7423099,-122.42217
135418,"Metro Terminal",37.7208799,-122.44665
135448,"Balboa Park Bart",37.7208999,-122.44666
13546,"32nd Ave & California St",37.7834199,-122.4924399
13547,"32nd Ave & California St",37.7834299,-122.4925499
13548,"32nd Ave & Clement St",37.782,-122.49233
13549,"32nd Ave & Clement St",37.7817999,-122.4924199
13550,"32nd Ave & Geary Blvd",37.7799399,-122.4922999
13551,"33rd Ave & Anza St",37.77786,-122.49325
13554,"33rd Ave & Balboa St",37.7759999,-122.4931299
13555,"33rd Ave & Clement St",37.7815399,-122.4933499
13556,"33rd Ave & Clement St",37.7814999,-122.4935099
13557,"33rd Ave & Geary Blvd",37.7798199,-122.49323
13558,"33rd Ave & Geary Blvd",37.7798199,-122.49339
135603,"Mission St & Main St",37.7919699,-122.39493
13571,"45th Ave & Balboa St",37.7752099,-122.5059599
13573,"45th Ave & Cabrillo St",37.77354,-122.50583
13574,"46th Ave & Irving St",37.7623799,-122.5061399
13576,"46th Ave & Judah St",37.7605199,-122.50601
13578,"46th Ave & Kirkham St",37.7586599,-122.5058899
13580,"46th Ave & Lawton St",37.7567799,-122.5057499
135828,"Ortega St & 48th Ave",37.7509299,-122.50751
13583,"46th Ave & Lincoln Way",37.76405,-122.5062699
13584,"46th Ave & Moraga St",37.7549299,-122.5056199
135859,"Pacific Ave & Van Ness Ave",37.7947799,-122.4229
13587,"46th Ave & Noriega St",37.7528399,-122.5054799
13588,"46th Ave & Ortega St",37.75119,-122.50537
13590,"46th Ave & Pacheco St",37.7493299,-122.5052399
13592,"46th Ave & Quintara St",37.7474599,-122.5050999
135926,"Phelan Loop",37.7234699,-122.45265
13594,"46th Ave & Rivera St",37.7455899,-122.5049699
13599,"46th Ave & Taraval St",37.7416899,-122.5045299
13600,"46th Ave & Ulloa St",37.7399999,-122.5045799
13601,"46th Ave & Ulloa St",37.73983,-122.50441
13602,"46th Ave & Vicente St",37.7381399,-122.5044399
13603,"46th Ave & Vicente St",37.73797,-122.50427
13605,"47th Ave & Noriega St",37.75278,-122.50636
136089,"Presidio Ave & California St",37.7873699,-122.44688
13612,"5th St North & Market St",37.7840099,-122.4082099
13629,"Alemany At St Mary'S Park Overpass",37.7322899,-122.42059
13636,"Arballo Dr & Acevedo Ave",37.7198899,-122.48313
13637,"Arballo Dr & Gonzalez Dr",37.71734,-122.4833099
13638,"Arballo Dr & Garces Dr",37.7163299,-122.4833499
13639,"Arballo Dr & Higuera Ave",37.7186099,-122.48321
13640,"Arballo Dr & Pinto Dr",37.7207599,-122.48308
13644,"Arguello Blvd & California St",37.78556,-122.4592499
13647,"Arguello Blvd & Euclid Ave",37.78374,-122.45896
136497,"Steuart St & Mission St",37.7933499,-122.39323
136498,"Steuart St & Mission St",37.7932399,-122.39332
13652,"Arkansas St & 22nd St",37.75745,-122.39804
13653,"Arkansas St & Madera St",37.7559699,-122.3978899
136575,"McLaren School",37.7135499,-122.42222
136606,"Sutter St & Sansome St",37.7902999,-122.40067
136739,"West Portal Station",37.7409599,-122.4658
136932,"Wawona St & 46th Ave",37.7361299,-122.50435
137058,"West Portal Ave & Ulloa St",37.7408899,-122.46585
137099,"Mission St & San Jose Ave",37.7059799,-122.46131
13715,"Broad St & Capitol Ave",37.7131899,-122.45892
13716,"Broad St & Capitol Ave",37.71315,-122.4591599
13717,"Broad St & Orizaba Ave",37.71318,-122.4623299
13718,"Broad St & Plymouth Ave",37.7132199,-122.45593
13719,"Broad St & Plymouth Ave",37.7131599,-122.45618
137227,"Market & Steuart",37.7944499,-122.39492
13723,"Bryant St & 4th St",37.77947,-122.3980699
13724,"Bryant St & 5th St",37.7779499,-122.39995
13725,"Bryant St & 6th St",37.7761599,-122.40223
137518,"24th St & Potrero Ave",37.7530699,-122.40621
137522,"Geneva St. & Schwerin St.",37.7062999,-122.41308
137543,"Clement & 14 Ave",37.7824999,-122.47308
137563,"McAllister St. & Jones",37.7811699,-122.41219
13768,"228 Bayshore Blvd",37.74472,-122.4044299
13769,"380 Bayshore Blvd",37.7413299,-122.40669
13771,"Bayshore Blvd & Alemany Blvd",37.7377299,-122.4069999
13772,"Bayshore Blvd & Arleta Ave",37.7122399,-122.40261
13773,"Bayshore Blvd & Augusta St",37.73425,-122.40558
13775,"Bayshore Blvd & Boutwell St",37.73488,-122.40588
13778,"Bayshore Blvd & Cortland Ave",37.73986,-122.4067699
13779,"Bayshore Blvd & Cortland Ave",37.73967,-122.4071199
13782,"Bay Shore Blvd & Jerrold Ave",37.74712,-122.40351
13783,"Bayshore Blvd & Leland Ave",37.71114,-122.4037799
13784,"Bayshore Blvd & Marengo St",37.7387,-122.4068899
13785,"Bayshore Blvd & Oakdale Ave",37.74332,-122.4052299
13786,"Bayshore Blvd & Oakdale Ave",37.7428799,-122.40519
13788,"Bayshore Blvd & Silver Ave",37.73321,-122.40472
13789,"Bay Shore Blvd & Silver Ave",37.7329599,-122.4047899
13793,"Bayshore Blvd & Visitacion Ave",37.71062,-122.4038899
13797,"95 Buckingham Way",37.72596,-122.47688
13798,"95 Buckingham Way",37.72597,-122.47714
13799,"175 Buckingham Way",37.7259499,-122.47881
13800,"197 Buckingham Way",37.72587,-122.47879
13801,"280 Buckingham Way",37.7269099,-122.4800399
13802,"280 Buckingham Way",37.7271699,-122.4800499
13803,"Buckingham Way & Winston Dr",37.72803,-122.4791299
13815,"Bush St & Montgomery St",37.79096,-122.4020799
13822,"California St & 4th Ave",37.7853499,-122.46229
13823,"California St & 4th Ave",37.7851799,-122.46257
13824,"California St & 6th Ave",37.7850199,-122.46494
13825,"California St & 6th Ave",37.7848999,-122.46471
13827,"California St & 8th Ave",37.7846299,-122.46682
13828,"California St & 10th Ave",37.78467,-122.4691599
13830,"California St & 10th Ave",37.78455,-122.4689599
13831,"California St & 12th Ave",37.78459,-122.4708499
13832,"California St & 12th Ave",37.7844499,-122.4711
13833,"California St & 16th Ave",37.7843899,-122.47523
13834,"California St & 16th Ave",37.78425,-122.4754999
13835,"California St & 19th Ave",37.78424,-122.4784499
13836,"California St & 19th Ave",37.78411,-122.4787099
13837,"California St & 22nd Ave",37.7841,-122.4816599
13838,"California St & 22nd Ave",37.7839399,-122.48189
13839,"California St & 25th Ave",37.78395,-122.4848199
13840,"California St & 25th Ave",37.7838099,-122.48529
13841,"California St & 28th Ave",37.7837999,-122.48807
13842,"California St & 28th Ave",37.7836599,-122.48846
13843,"California St & 30th Ave",37.7836699,-122.49051
13844,"California St & 30th Ave",37.7835799,-122.49009
13845,"California St & Arguello Blvd",37.7856999,-122.45929
13846,"California St & Arguello Blvd",37.78566,-122.4590399
13847,"California St & Baker St",37.78774,-122.4436299
13848,"California St & Baker St",37.7876199,-122.44338
13851,"California St & Battery St",37.7931399,-122.39987
13852,"California St & Cherry St",37.78604,-122.4568299
13853,"California St & Cherry St",37.78597,-122.4563299
13858,"California St & Divisadero St",37.7880899,-122.44087
13859,"California St & Divisadero St",37.7879499,-122.44072
13861,"California St & Fillmore St",37.7889299,-122.43415
13862,"California St & Fillmore St",37.7887899,-122.43392
13867,"California St & Hyde St",37.7910199,-122.41756
13875,"California St & Laurel St",37.7869199,-122.44996
13876,"California St & Laurel St",37.7867099,-122.45026
13879,"California St & Maple St",37.7862499,-122.45521
13884,"California St & Pierce St",37.7885199,-122.43748
13885,"California St & Pierce St",37.7884599,-122.43681
13886,"California St & Park Presidio Blvd",37.7845199,-122.47325
13887,"California St & Park Presidio Blvd",37.7843699,-122.47276
13892,"California St & Presidio Ave",37.7873299,-122.44691
13893,"California St & Presidio Ave",37.7871499,-122.44688
13896,"California St & Spruce St",37.7865,-122.4532799
13897,"California St & Spruce St",37.78633,-122.4535199
13909,"Carl St & Cole St",37.7658599,-122.4498
13911,"Carl St & Cole St",37.7657499,-122.45013
13912,"Carl St & Hillway Ave",37.7649999,-122.45656
